,timestamp,tweet
64,2017-30-01 14:03:21,"@PrakashJavdekar @SushmaSwaraj @sherryontopp 
We need help to save our college. Please.
#IIITKalyaniCrisis"
65,2017-30-01 14:02:54,"@PrakashJavdekar @SushmaSwaraj @ArvindKejriwal 
We need help to save our college. Please.
#IIITKalyaniCrisis"
66,2017-30-01 14:02:46,#IIITKalyaniCrisis @PrakashJavdekar @office0ffRG We need a permanent director and permanent faculty members. @iiit_kalyani
67,2017-30-01 14:02:16,"@PrakashJavdekar @SushmaSwaraj @AmitShah 
We need help to save our college. Please.
#IIITKalyaniCrisis"
68,2017-30-01 14:00:02,#IIITKalyaniCrisis @SushmaSwaraj @office0ffRG @ArvindKejriwal https://t.co/fEpufsGoXn
69,2017-30-01 13:55:18,#IIITKalyaniCrisis @PrakashJavdekar https://t.co/ddSThOuKWC
70,2017-30-01 13:53:37,"@PrakashJavdekar @SushmaSwaraj 
Our college is on life support system. Please save.
#IIITKalyaniCrisis"
71,2017-30-01 13:52:14,#IIITKalyaniCrisis https://t.co/mzgRfmsrmg
72,2017-30-01 13:49:29,"@PrakashJavdekar @SushmaSwaraj 
Our PADMA SHRI Mentor Director does NOTHING-AT-ALL !!!
#IIITKalyaniCrisis"
73,2017-30-01 13:46:17,"@PrakashJavdekar @SushmaSwaraj 
Temp Registrar comes once a week
Mentor Director comes once a year
How will the this work
#IIITKalyaniCrisis"
74,2017-30-01 13:42:49,"@PrakashJavdekar @SushmaSwaraj 
Irregular Classes. Under-equipped Labs.
What kind of college is this ?
#IIITKalyaniCrisis"
75,2017-30-01 13:38:29,"RT @VikasUp179: @PrakashJavdekar @SushmaSwaraj

No Director, No Registrar !!
Is it even a COLLEGE ?

#IIITKalyaniCrisis"
76,2017-30-01 13:37:28,"RT @Manishchaubey13: @PrakashJavdekar @SushmaSwaraj 

No Director, No Registrar !!
Is it even a COLLEGE ?

#IIITKalyaniCrisis"
77,2017-30-01 13:37:25,"RT @AjBaadsah: @amiiitk @PrakashJavdekar @SushmaSwaraj 

No Director, No Registrar !!
Is it even a COLLEGE ?

#IIITKalyaniCrisis"
78,2017-30-01 13:37:21,"RT @VikasUp179: @PrakashJavdekar @SushmaSwaraj @HRDMinistry 

No Director, No Registrar !!
Is it even a COLLEGE ?

#IIITKalyaniCrisis"
79,2017-30-01 13:37:19,"RT @spsingh_iiitkk: @PrakashJavdekar  @SushmaSwaraj @OfficeOfRG 
No Director, No Registrar !!
Is it even a COLLEGE ?
#IIITKalyaniCrisis"
80,2017-30-01 13:36:55,"RT @suryavamsi81: @PrakashJavdekar @SushmaSwaraj 
SOS. We need help to save our college. SOS.
#IIITKalyaniCrisis"
81,2017-30-01 13:36:53,"RT @suryavamsi81: @PrakashJavdekar @SushmaSwaraj 

We need help to save our college. Please.

#IIITKalyaniCrisis"
82,2017-30-01 13:33:21,"RT @suryavamsi81: @PrakashJavdekar @SushmaSwaraj 

No Director, No Registrar !!
Is it even a COLLEGE ?

#IIITKalyaniCrisis"
83,2017-30-01 13:32:04,"@PrakashJavdekar @SushmaSwaraj 
SOS. We need help to save our college. SOS.
#IIITKalyaniCrisis"
84,2017-30-01 13:31:17,"@PrakashJavdekar @SushmaSwaraj 

We need help to save our college. Please.

#IIITKalyaniCrisis"
85,2017-30-01 13:25:07,"@PrakashJavdekar @SushmaSwaraj 

No Director, No Registrar !!
Is it even a COLLEGE ?

#IIITKalyaniCrisis"
86,2016-02-11 15:10:30,RT @suryavamsi81: @icpcamritapuri when the results will be declared?
87,2016-02-11 12:32:06,@icpcamritapuri when the results will be declared?
88,2016-01-11 16:07:16,JDBC Part1: https://t.co/7UjLoOIOog via @YouTube
89,2016-01-11 16:06:36,I added a video to a @YouTube playlist https://t.co/7UjLoOIOog JDBC Part1
90,2016-18-09 14:07:49,Sign up for early access to schedule your Uber ride! https://t.co/fWt0he3yGO #ScheduleYourUber
91,2016-28-08 13:23:24,RT @spsingh_iiitkk: @PrakashJavdekar sir please look into the condition of IIIT Kalyani. The students are suffering with infrastructure les…
92,2016-28-08 13:23:21,RT @spsingh_iiitkk: @SushmaSwaraj https://t.co/5iFc2klsUY
